481	11	\N	deprecated
481	12	\N	
482	11	\N	deprecated
482	12	\N	
483	11	\N	deprecated
483	12	\N	
484	11	\N	deprecated
484	12	\N	
485	11	\N	deprecated
485	12	\N	
486	11	\N	deprecated
486	12	\N	
487	11	\N	deprecated
487	12	\N	
488	11	\N	deprecated
488	12	\N	
489	11	\N	deprecated
489	12	\N	
504	13	\N	deprecated
504	14	\N	
517	13	\N	deprecated
517	14	\N	
518	13	\N	deprecated
518	14	\N	
531	13	\N	deprecated
531	14	\N	
538	15	\N	deprecated
538	16	\N	
549	15	\N	deprecated
549	16	\N	
566	15	\N	deprecated
566	16	\N	
568	15	\N	deprecated
568	16	\N	
569	15	\N	deprecated
569	16	\N	
570	15	\N	deprecated
570	16	\N	
577	15	\N	deprecated
577	16	\N	
625	15	\N	deprecated
625	16	\N	
626	15	\N	deprecated
626	16	\N	
627	15	\N	deprecated
627	16	\N	
628	15	\N	deprecated
628	16	\N	
648	15	\N	deprecated
648	16	\N	
649	15	\N	deprecated
649	16	\N	
659	15	\N	deprecated
659	16	\N	
674	15	\N	deprecated
674	16	\N	
688	15	\N	deprecated
688	16	\N	
693	17	\N	deprecated
693	18	\N	
694	17	\N	deprecated
694	18	\N	
695	17	\N	deprecated
695	18	\N	
696	17	\N	deprecated
696	18	\N	
697	17	\N	deprecated
697	18	\N	
698	17	\N	deprecated
698	18	\N	
699	17	\N	deprecated
699	18	\N	
700	17	\N	deprecated
700	18	\N	
701	17	\N	deprecated
701	18	\N	
702	17	\N	deprecated
702	18	\N	
703	17	\N	deprecated
703	18	\N	
704	17	\N	deprecated
704	18	\N	
705	17	\N	deprecated
705	18	\N	
706	17	\N	deprecated
706	18	\N	
707	17	\N	deprecated
707	18	\N	
708	17	\N	deprecated
708	18	\N	
709	17	\N	deprecated
709	18	\N	
710	17	\N	deprecated
710	18	\N	
711	17	\N	deprecated
711	18	\N	
712	17	\N	deprecated
712	18	\N	
713	17	\N	deprecated
713	18	\N	
714	17	\N	deprecated
714	18	\N	
715	17	\N	deprecated
715	18	\N	
716	17	\N	deprecated
716	18	\N	
717	17	\N	deprecated
717	18	\N	
718	17	\N	deprecated
718	18	\N	
719	17	\N	deprecated
719	18	\N	
720	17	\N	deprecated
720	18	\N	
721	17	\N	deprecated
721	18	\N	
722	17	\N	deprecated
722	18	\N	
723	17	\N	deprecated
723	18	\N	
724	17	\N	deprecated
724	18	\N	
725	17	\N	deprecated
725	18	\N	
726	17	\N	deprecated
726	18	\N	
727	17	\N	deprecated
727	18	\N	
728	17	\N	deprecated
728	18	\N	
729	17	\N	deprecated
729	18	\N	
730	17	\N	deprecated
730	18	\N	
731	17	\N	deprecated
731	18	\N	
775	19	\N	deprecated
775	20	\N	
782	21	\N	deprecated
782	22	\N	
791	21	\N	deprecated
791	22	\N	
792	21	\N	deprecated
792	22	\N	
795	21	\N	deprecated
795	22	\N	
832	23	\N	deprecated
832	24	\N	
833	23	\N	deprecated
833	24	\N	
834	23	\N	deprecated
834	24	\N	
835	23	\N	deprecated
835	24	\N	
836	23	\N	deprecated
836	24	\N	
837	23	\N	deprecated
837	24	\N	
838	23	\N	deprecated
838	24	\N	
839	23	\N	deprecated
839	24	\N	
840	23	\N	deprecated
840	24	\N	
841	23	\N	deprecated
841	24	\N	
842	23	\N	deprecated
842	24	\N	
843	23	\N	deprecated
843	24	\N	
844	23	\N	deprecated
844	24	\N	
845	23	\N	deprecated
845	24	\N	
846	23	\N	deprecated
846	24	\N	
847	23	\N	deprecated
847	24	\N	
848	23	\N	deprecated
848	24	\N	
849	23	\N	deprecated
849	24	\N	
850	23	\N	deprecated
850	24	\N	
851	23	\N	deprecated
851	24	\N	
852	23	\N	deprecated
852	24	\N	
853	23	\N	deprecated
853	24	\N	
854	23	\N	deprecated
854	24	\N	
855	23	\N	deprecated
855	24	\N	
856	23	\N	deprecated
856	24	\N	
857	23	\N	deprecated
857	24	\N	
858	23	\N	deprecated
858	24	\N	
859	23	\N	deprecated
859	24	\N	
860	23	\N	deprecated
860	24	\N	
861	23	\N	deprecated
861	24	\N	
862	23	\N	deprecated
862	24	\N	
863	23	\N	deprecated
863	24	\N	
864	23	\N	deprecated
864	24	\N	
865	23	\N	deprecated
865	24	\N	
866	23	\N	deprecated
866	24	\N	
867	23	\N	deprecated
867	24	\N	
868	23	\N	deprecated
868	24	\N	
869	23	\N	deprecated
869	24	\N	
870	23	\N	deprecated
870	24	\N	
871	23	\N	deprecated
871	24	\N	
872	23	\N	deprecated
872	24	\N	
873	23	\N	deprecated
873	24	\N	
874	23	\N	deprecated
874	24	\N	
875	23	\N	deprecated
875	24	\N	
876	23	\N	deprecated
876	24	\N	
877	23	\N	deprecated
877	24	\N	
878	23	\N	deprecated
878	24	\N	
879	23	\N	deprecated
879	24	\N	
880	23	\N	deprecated
880	24	\N	
881	23	\N	deprecated
881	24	\N	
882	23	\N	deprecated
882	24	\N	
883	23	\N	deprecated
883	24	\N	
884	23	\N	deprecated
884	24	\N	
885	23	\N	deprecated
885	24	\N	
886	23	\N	deprecated
886	24	\N	
887	23	\N	deprecated
887	24	\N	
888	23	\N	deprecated
888	24	\N	
889	23	\N	deprecated
889	24	\N	
921	25	\N	deprecated
921	26	\N	
922	25	\N	deprecated
922	26	\N	
925	25	\N	deprecated
925	26	\N	
926	25	\N	deprecated
926	26	\N	
932	27	\N	deprecated
932	28	\N	
933	27	\N	deprecated
933	28	\N	
940	29	\N	deprecated
940	30	\N	
941	29	\N	deprecated
941	30	\N	
942	29	\N	deprecated
942	30	\N	
943	29	\N	deprecated
943	30	\N	
944	29	\N	deprecated
944	30	\N	
945	29	\N	deprecated
945	30	\N	
998	31	\N	deprecated
998	32	\N	
1091	33	\N	deprecated
1091	34	\N	
1107	33	\N	deprecated
1107	34	\N	
1333	35	\N	deprecated
1333	36	\N	
1334	35	\N	deprecated
1334	36	\N	
1388	37	\N	deprecated
1388	38	\N	
1389	37	\N	deprecated
1389	38	\N	
1390	37	\N	deprecated
1390	38	\N	
1391	37	\N	deprecated
1391	38	\N	
1392	37	\N	deprecated
1392	38	\N	
1393	37	\N	deprecated
1393	38	\N	
1394	37	\N	deprecated
1394	38	\N	
1395	37	\N	deprecated
1395	38	\N	
1396	37	\N	deprecated
1396	38	\N	
1397	37	\N	deprecated
1397	38	\N	
1398	37	\N	deprecated
1398	38	\N	
1399	37	\N	deprecated
1399	38	\N	
1400	37	\N	deprecated
1400	38	\N	
1401	37	\N	deprecated
1401	38	\N	
1402	37	\N	deprecated
1402	38	\N	
1403	37	\N	deprecated
1403	38	\N	
1404	37	\N	deprecated
1404	38	\N	
1405	37	\N	deprecated
1405	38	\N	
1406	37	\N	deprecated
1406	38	\N	
1407	37	\N	deprecated
1407	38	\N	
1408	37	\N	deprecated
1408	38	\N	
1409	37	\N	deprecated
1409	38	\N	
1410	37	\N	deprecated
1410	38	\N	
1411	37	\N	deprecated
1411	38	\N	
1412	37	\N	deprecated
1412	38	\N	
1413	37	\N	deprecated
1413	38	\N	
1414	37	\N	deprecated
1414	38	\N	
1415	37	\N	deprecated
1415	38	\N	
1416	37	\N	deprecated
1416	38	\N	
1417	37	\N	deprecated
1417	38	\N	
1418	37	\N	deprecated
1418	38	\N	
1419	37	\N	deprecated
1419	38	\N	
1420	37	\N	deprecated
1420	38	\N	
1421	37	\N	deprecated
1421	38	\N	
1422	37	\N	deprecated
1422	38	\N	
1423	37	\N	deprecated
1423	38	\N	
1424	37	\N	deprecated
1424	38	\N	
1425	37	\N	deprecated
1425	38	\N	
1426	37	\N	deprecated
1426	38	\N	
1427	37	\N	deprecated
